"address","latitude","longitude"
"1244 Kearny St, San Francisco, CA 94133",37.7995948791504,-122.40576171875
"420 Vallejo St, San Francisco, CA 94133",37.7991218566895,-122.40461730957
"383 Green St, San Francisco, CA 94133",37.799934387207,-122.405517578125
"400 Vallejo St, San Francisco, CA 94133",37.7991600036621,-122.404029846191
"369 Green St, San Francisco, CA 94133",37.7999496459961,-122.405418395996
"267 Green St, San Francisco, CA 94133",37.8001670837402,-122.403762817383
"334 Vallejo St, San Francisco, CA 94133",37.7992820739746,-122.403091430664
"1158 Montgomery St, San Francisco, CA 94133",37.799934387207,-122.404197692871
"1134 Montgomery St, San Francisco, CA 94133",37.7996635437012,-122.404144287109
"372 Vallejo St, San Francisco, CA 94133",37.7992172241211,-122.40357208252
"335 Vallejo St, San Francisco, CA 94133",37.7992820739746,-122.403060913086
"1090 Montgomery St, San Francisco, CA 94133",37.7990074157715,-122.403999328613
"1042 Montgomery St, San Francisco, CA 94133",37.7988357543945,-122.403961181641
"400 Broadway, San Francisco, CA 94133",37.798210144043,-122.40406036377
"1154 Kearny St, San Francisco, CA 94133",37.798770904541,-122.405586242676
"426 Broadway, San Francisco, CA 94133",37.7981605529785,-122.404411315918
"1142 Kearny St, San Francisco, CA 94133",37.7986450195312,-122.405563354492
"471 Vallejo St, San Francisco, CA 94133",37.7990570068359,-122.405136108398
"438 Broadway, San Francisco, CA 94133",37.7981376647949,-122.404609680176
"517 Vallejo St, San Francisco, CA 94133",37.798942565918,-122.40599822998
"1226 Grant Ave, San Francisco, CA 94133",37.798397064209,-122.407119750977
"20 Romolo Pl, San Francisco, CA 94133",37.7984771728516,-122.40633392334
"1127 Kearny St, San Francisco, CA 94133",37.7984390258789,-122.405540466309
"1135 Kearny St, San Francisco, CA 94133",37.7985305786133,-122.405548095703
"75 Fresno St, San Francisco, CA 94133",37.7985458374023,-122.406799316406
"67 Fresno St, San Francisco, CA 94133",37.7985610961914,-122.406669616699
"534 Broadway, San Francisco, CA 94133",37.7979507446289,-122.406127929688
"1151 Kearny St, San Francisco, CA 94133",37.7987899780273,-122.40559387207
"556 Broadway, San Francisco, CA 94133",37.7979011535645,-122.406524658203
"550 Broadway, San Francisco, CA 94133",37.7979167550802,-122.406413778663
"15 Romolo Pl, San Francisco, CA 94133",37.7982597351074,-122.406288146973
"511 Vallejo St, San Francisco, CA 94133",37.7989501953125,-122.40592956543
"1350 Stockton St, San Francisco, CA 94133",37.7981923520565,-122.408703044057
"1300 Stockton St, San Francisco, CA 94133",37.7978210449219,-122.408630371094
"1249 Grant Ave, San Francisco, CA 94133",37.7986409515142,-122.407164126635
"1316 Stockton St, San Francisco, CA 94133",37.7978148311377,-122.408629953861
"728 Broadway, San Francisco, CA 94133",37.7975883483887,-122.409164428711
"1416 Powell St, San Francisco, CA 94133",37.7978096008301,-122.41032409668
"1355 Stockton St, San Francisco, CA 94133",37.7984085083008,-122.408744812012
"1301 Stockton St, San Francisco, CA 94133",37.7977953851223,-122.408625930548
"754 Broadway, San Francisco, CA 94133",37.7975273132324,-122.409599304199
"1319 Stockton St, San Francisco, CA 94133",37.7979698181152,-122.408660888672
"1443 Powell St, San Francisco, CA 94133",37.7980613708496,-122.410377502441
"859 Vallejo St, San Francisco, CA 94133",37.7982635498047,-122.411323547363
"821 Vallejo St, San Francisco, CA 94133",37.7983207702637,-122.410873413086
"870 Broadway, San Francisco, CA 94133",37.7973213195801,-122.411521911621
"1463 Powell St, San Francisco, CA 94133",37.7979811280966,-122.410358637571
"1632 Taylor St, San Francisco, CA 94133",37.7974243164062,-122.413612365723
"1616 Taylor St, San Francisco, CA 94133",37.7973213195801,-122.413597106934
"1644 Taylor St, San Francisco, CA 94133",37.797550201416,-122.413635253906
"901 Vallejo St, San Francisco, CA 94133",37.7981300354004,-122.412330627441
"1728 Jones St, San Francisco, CA 94109",37.7971649169922,-122.415237426758
"1 Florence St, San Francisco, CA 94133",37.7972106933594,-122.414688110352
"1196 Broadway, San Francisco, CA 94109",37.7966079711914,-122.416610717773
"1260 Broadway, San Francisco, CA 94109",37.7965087890625,-122.417839050293
"1717 Leavenworth St, San Francisco, CA 94109",37.796947479248,-122.41690826416
"1718 Hyde St, San Francisco, CA 94109",37.7967147827148,-122.418556213379
"1748 Hyde St, San Francisco, CA 94109",37.7968787401915,-122.418588995934
"1730 Hyde St, San Francisco, CA 94109",37.7968063354492,-122.418571472168
"1324 Broadway, San Francisco, CA 94109",37.7963600158691,-122.419021606445
"1725 Hyde St, San Francisco, CA 94109",37.7967720031738,-122.418563842773
"1767 Hyde St, San Francisco, CA 94109",37.7971916198731,-122.418647766113
"1705 Hyde St, San Francisco, CA 94109",37.7965850830078,-122.418525695801
"1735 Hyde St, San Francisco, CA 94109",37.7968521118164,-122.418579101563
"1444 Pacific Ave, San Francisco, CA 94109",37.7953854203224,-122.418918907642
"1492 Pacific Ave, San Francisco, CA 94109",37.795280456543,-122.419708251953
"1637 Hyde St, San Francisco, CA 94109",37.795955657959,-122.418403625488
"1406 Pacific Ave, San Francisco, CA 94109",37.7954292297363,-122.418548583984
"1430 Pacific Ave, San Francisco, CA 94109",37.7953910827637,-122.41886138916
"1645 Hyde St, San Francisco, CA 94109",37.7960357666016,-122.418418884277
"1400 Pacific Ave, San Francisco, CA 94109",37.7954390645027,-122.418481707573
"1642 Hyde St, San Francisco, CA 94109",37.7960433959961,-122.418418884277
"1661 Leavenworth St, San Francisco, CA 94109",37.7964057922363,-122.416793823242
"1324 Pacific Ave, San Francisco, CA 94109",37.7956085205078,-122.417175292969
"1308 Pacific Ave, San Francisco, CA 94109",37.7956428527832,-122.41690826416
"1243 Broadway, San Francisco, CA 94109",37.7962875366211,-122.417602539062
"1245 Broadway, San Francisco, CA 94109",37.7962799072266,-122.417694091797
"1656 Leavenworth St, San Francisco, CA 94109",37.7964057922363,-122.416793823242
"1139 Broadway, San Francisco, CA 94109",37.7967131137848,-122.415861189365
"1620 Leavenworth St, San Francisco, CA 94109",37.7959785461426,-122.416702270508
"1635 Jones St, San Francisco, CA 94109",37.7964401245117,-122.415107727051
"1615 Jones St, San Francisco, CA 94109",37.7961540222168,-122.415054321289
"1545 Taylor St, San Francisco, CA 94133",37.7967948913574,-122.41349029541
"1118 Pacific Ave, San Francisco, CA 94133",37.7960465848446,-122.413737550378
"1529 Taylor St, San Francisco, CA 94133",37.7966423034668,-122.413459777832
"1513 Taylor St, San Francisco, CA 94133",37.7963371276855,-122.41340637207
"1046 Pacific Ave, San Francisco, CA 94133",37.796199798584,-122.412483215332
"1534 Taylor St, San Francisco, CA 94133",37.7965621948242,-122.413444519043
"54 Salmon St, San Francisco, CA 94133",37.7967758178711,-122.412658691406
"1508 Taylor St, San Francisco, CA 94133",37.7962646484375,-122.413391113281
"26 Salmon St, San Francisco, CA 94133",37.7965888977051,-122.412612915039
"1401 Mason St, San Francisco, CA 94133",37.7964553833008,-122.411743164062
"1556 Taylor St, San Francisco, CA 94133",37.7967491149902,-122.413482666016
"999 Broadway, San Francisco, CA 94133",37.7970577776432,-122.413370087743
"835 Broadway, San Francisco, CA 94133",37.7971572875976,-122.410865783691
"1351 Powell St, San Francisco, CA 94133",37.7971687316895,-122.410194396973
"875 Broadway, San Francisco, CA 94133",37.7970695495605,-122.411392211914
"916 Pacific Ave, San Francisco, CA 94133",37.7964668273926,-122.410446166992
"930 Pacific Ave, San Francisco, CA 94133",37.7964515686035,-122.410606384277
"30 Wayne Pl, San Francisco, CA 94133",37.7967872619629,-122.41096496582
"1350 Powell St, San Francisco, CA 94133",37.7972068786621,-122.410202026367
"1300 Powell St, San Francisco, CA 94133",37.7966041564941,-122.410079956055
"750 Pacific Ave, San Francisco, CA 94133",37.7968101501465,-122.407722473145
"1342 Mason St, San Francisco, CA 94133",37.7960395812988,-122.411651611328
"37 John St, San Francisco, CA 94133",37.7959647774696,-122.410617470741
"1330 Mason St, San Francisco, CA 94133",37.7959855645895,-122.411639392376
"940 Jackson St, San Francisco, CA 94133",37.7955207824707,-122.410614013672
"1201 Powell St, San Francisco, CA 94133",37.7957611083984,-122.40990447998
"1098 Jackson St, San Francisco, CA 94133",37.7952224761248,-122.412999272346
